236: -56.03692626953125, lr=0.01
237: -56.423309326171875, lr=0.01
238: -57.106224060058594, lr=0.01
239: -55.16221618652344, lr=0.01
240: -52.42601013183594, lr=0.01
241: -47.62995910644531, lr=0.01
242: -41.428749084472656, lr=0.01
243: -35.44374084472656, lr=0.01
244: -33.83064270019531, lr=0.01
245: -33.647125244140625, lr=0.01
246: -33.68901062011719, lr=0.01
247: -34.45801544189453, lr=0.01
248: -32.53319549560547, lr=0.01
249: -32.69136047363281, lr=0.01
250: -33.37572479248047, lr=0.01
251: -34.98020935058594, lr=0.01
252: -34.918601989746094, lr=0.01
253: -33.70600891113281, lr=0.01
254: -33.782447814941406, lr=0.01
255: -32.01439666748047, lr=0.01
256: -31.682952880859375, lr=0.01
257: -32.98927307128906, lr=0.01
258: -34.341064453125, lr=0.01
259: -41.67780303955078, lr=0.01
260: -40.730438232421875, lr=0.01
261: -41.80677795410156, lr=0.01
262: -41.222991943359375, lr=0.01
263: -41.008262634277344, lr=0.01
264: -40.747962951660156, lr=0.01
265: -43.21375274658203, lr=0.01
266: -44.05176544189453, lr=0.01
267: -45.215728759765625, lr=0.01
268: -47.620208740234375, lr=0.01
269: -45.944427490234375, lr=0.01
270: -45.30793762207031, lr=0.01
271: -43.99683380126953, lr=0.01
272: -43.826011657714844, lr=0.01
273: -45.034645080566406, lr=0.01
274: -40.75425720214844, lr=0.01
275: -42.12097930908203, lr=0.01
276: -30.53253173828125, lr=0.01
277: -29.483253479003906, lr=0.01
278: -36.84452819824219, lr=0.01
279: -27.194183349609375, lr=0.01
280: -28.471405029296875, lr=0.01
281: -29.829124450683594, lr=0.01
282: -30.380020141601562, lr=0.01
283: -35.45860290527344, lr=0.01
284: -25.90680694580078, lr=0.01
285: -28.57048797607422, lr=0.01
286: -29.733238220214844, lr=0.01
287: -18.77204132080078, lr=0.01
288: -15.78179931640625, lr=0.01
289: -13.567337036132812, lr=0.01
290: -14.926750183105469, lr=0.01
291: -15.152397155761719, lr=0.01
292: -17.7076416015625, lr=0.01
293: -20.38530731201172, lr=0.01
294: -25.661849975585938, lr=0.01
295: -37.0706787109375, lr=0.01
296: -45.62560272216797, lr=0.01
297: -43.140296936035156, lr=0.01
298: -42.48162078857422, lr=0.01
299: -24.13494110107422, lr=0.01
300: -19.214553833007812, lr=0.01
301: -16.712379455566406, lr=0.01
302: -16.24432373046875, lr=0.01
303: -16.210723876953125, lr=0.01
304: -9.313140869140625, lr=0.01
305: -12.688140869140625, lr=0.01
306: -13.39794921875, lr=0.01
307: -14.061820983886719, lr=0.01
308: -13.54925537109375, lr=0.01
309: -12.948883056640625, lr=0.01
310: -12.892280578613281, lr=0.01
311: -12.679069519042969, lr=0.01
312: -12.81182861328125, lr=0.01
313: -12.060218811035156, lr=0.01
314: -12.817230224609375, lr=0.01
315: -12.793571472167969, lr=0.01
316: -13.296234130859375, lr=0.01
317: -13.410263061523438, lr=0.01
318: -13.753265380859375, lr=0.01
319: -13.898590087890625, lr=0.01
320: -14.607864379882812, lr=0.01
321: -14.262550354003906, lr=0.01
322: -13.913864135742188, lr=0.01
323: -13.891731262207031, lr=0.01
324: -13.9990234375, lr=0.01
325: -13.69879150390625, lr=0.01
326: -13.150032043457031, lr=0.01
327: -12.462982177734375, lr=0.01
328: -10.192459106445312, lr=0.01
329: -8.248970031738281, lr=0.01
330: -7.467292785644531, lr=0.01
331: -7.7454833984375, lr=0.01
332: -8.052345275878906, lr=0.01
333: -7.618522644042969, lr=0.01
334: -7.897300720214844, lr=0.01
335: -6.720306396484375, lr=0.01
336: -6.018684387207031, lr=0.01
337: -5.340385437011719, lr=0.01
338: -6.39013671875, lr=0.01
339: -6.563789367675781, lr=0.01
340: -6.563377380371094, lr=0.01
341: -6.887542724609375, lr=0.01
342: -7.3985595703125, lr=0.01
343: -7.544456481933594, lr=0.01
344: -8.286643981933594, lr=0.01
345: -10.257316589355469, lr=0.01
346: -13.267074584960938, lr=0.01
347: -13.921104431152344, lr=0.01
348: -15.851234436035156, lr=0.01
349: -14.787307739257812, lr=0.01
350: -16.06231689453125, lr=0.01
351: -16.01007080078125, lr=0.01
352: -17.27971649169922, lr=0.01
353: -18.566558837890625, lr=0.01
354: -16.6353759765625, lr=0.01
355: -16.68701171875, lr=0.01
356: -17.7352294921875, lr=0.01
357: -17.942298889160156, lr=0.01
358: -17.95513916015625, lr=0.01
359: -17.42474365234375, lr=0.01
360: -16.639419555664062, lr=0.01
361: -16.844528198242188, lr=0.01
362: -17.393211364746094, lr=0.01
363: -18.53325653076172, lr=0.01
364: -20.990341186523438, lr=0.01
365: -21.93195343017578, lr=0.01
366: -23.171287536621094, lr=0.01
367: -26.053810119628906, lr=0.01
368: -32.88880920410156, lr=0.01
369: -42.925193786621094, lr=0.01
370: -47.30689239501953, lr=0.01
371: -47.845367431640625, lr=0.01
372: -47.859275817871094, lr=0.01
373: -60.00542449951172, lr=0.01
374: -65.37698364257812, lr=0.01
375: -77.76604461669922, lr=0.01
376: -93.2764663696289, lr=0.01
377: -99.57549285888672, lr=0.01
378: -100.55868530273438, lr=0.01
379: -107.58377075195312, lr=0.01
380: -106.36235809326172, lr=0.01
381: -98.91905212402344, lr=0.01
